dataset_name,score_thr,fscore,precision,recall,with_clefts,is_best
calyx,700,0.053,0.947,0.027,1,0
calyx,600,0.083,0.945,0.044,1,0
calyx,500,0.133,0.945,0.071,1,0
calyx,400,0.214,0.939,0.121,1,0
calyx,300,0.343,0.927,0.210,1,0
calyx,200,0.519,0.911,0.363,1,0
calyx,150,0.602,0.896,0.453,1,0
calyx,120,0.643,0.885,0.506,1,0
calyx,110,0.656,0.880,0.522,1,0
calyx,105,0.662,0.878,0.531,1,0
calyx,100,0.668,0.875,0.540,1,0
calyx,95,0.674,0.874,0.549,1,0
calyx,90,0.680,0.872,0.558,1,0
calyx,60,0.714,0.855,0.613,1,0
calyx,30,0.740,0.827,0.669,1,0
calyx,10,0.751,0.794,0.713,1,0
calyx,9,0.752,0.792,0.715,1,0
calyx,8,0.752,0.789,0.718,1,0
calyx,7,0.752,0.786,0.721,1,0
calyx,6,0.752,0.783,0.724,1,0
calyx,5,0.752,0.779,0.727,1,0
calyx,4,0.752,0.776,0.730,1,1
calyx,3,0.752,0.771,0.733,1,0
calyx,2,0.751,0.767,0.736,1,0
calyx,1,0.749,0.760,0.738,1,0
calyx,0,0.716,0.688,0.746,1,0
lh,700,0.017,0.884,0.009,1,0
lh,600,0.033,0.857,0.017,1,0
lh,500,0.065,0.867,0.034,1,0
lh,400,0.131,0.879,0.071,1,0
lh,300,0.259,0.850,0.153,1,0
lh,200,0.468,0.813,0.328,1,0
lh,150,0.573,0.790,0.450,1,0
lh,120,0.626,0.772,0.526,1,0
lh,110,0.640,0.766,0.550,1,0
lh,105,0.647,0.761,0.563,1,0
lh,100,0.653,0.756,0.574,1,0
lh,95,0.657,0.750,0.585,1,0
lh,90,0.662,0.743,0.596,1,0
lh,60,0.684,0.707,0.662,1,0
lh,30,0.692,0.662,0.724,1,1
lh,10,0.681,0.612,0.767,1,0
lh,9,0.681,0.610,0.770,1,0
lh,8,0.679,0.606,0.772,1,0
lh,7,0.678,0.602,0.775,1,0
lh,6,0.677,0.599,0.779,1,0
lh,5,0.675,0.594,0.781,1,0
lh,4,0.673,0.589,0.785,1,0
lh,3,0.672,0.585,0.788,1,0
lh,2,0.670,0.581,0.790,1,0
lh,1,0.667,0.576,0.792,1,0
lh,0,0.653,0.554,0.796,1,0
pb,700,0.003,0.923,0.002,1,0
pb,600,0.007,0.963,0.003,1,0
pb,500,0.014,0.917,0.007,1,0
pb,400,0.031,0.869,0.016,1,0
pb,300,0.077,0.860,0.040,1,0
pb,200,0.197,0.850,0.112,1,0
pb,150,0.295,0.831,0.179,1,0
pb,120,0.358,0.811,0.229,1,0
pb,110,0.378,0.806,0.247,1,0
pb,105,0.387,0.803,0.255,1,0
pb,100,0.400,0.799,0.266,1,0
pb,95,0.411,0.796,0.277,1,0
pb,90,0.422,0.793,0.287,1,0
pb,60,0.492,0.770,0.361,1,0
pb,30,0.548,0.726,0.440,1,0
pb,10,0.585,0.682,0.512,1,0
pb,9,0.587,0.679,0.516,1,0
pb,8,0.589,0.677,0.521,1,0
pb,7,0.591,0.675,0.526,1,0
pb,6,0.592,0.670,0.530,1,0
pb,5,0.593,0.665,0.535,1,0
pb,4,0.595,0.660,0.542,1,0
pb,3,0.596,0.654,0.547,1,0
pb,2,0.598,0.650,0.553,1,1
pb,1,0.597,0.642,0.558,1,0
pb,0,0.590,0.616,0.567,1,0
eb,700,0.022,0.919,0.011,1,0
eb,600,0.041,0.923,0.021,1,0
eb,500,0.074,0.926,0.039,1,0
eb,400,0.134,0.922,0.072,1,0
eb,300,0.243,0.918,0.140,1,0
eb,200,0.400,0.901,0.257,1,0
eb,150,0.482,0.887,0.331,1,0
eb,120,0.528,0.875,0.378,1,0
eb,110,0.544,0.871,0.396,1,0
eb,105,0.552,0.868,0.404,1,0
eb,100,0.559,0.865,0.412,1,0
eb,95,0.566,0.862,0.421,1,0
eb,90,0.572,0.859,0.429,1,0
eb,60,0.611,0.837,0.481,1,0
eb,30,0.646,0.804,0.540,1,0
eb,10,0.669,0.765,0.594,1,0
eb,9,0.670,0.762,0.598,1,0
eb,8,0.670,0.758,0.601,1,0
eb,7,0.671,0.754,0.604,1,0
eb,6,0.672,0.751,0.608,1,0
eb,5,0.673,0.746,0.612,1,0
eb,4,0.673,0.741,0.616,1,1
eb,3,0.673,0.736,0.620,1,0
eb,2,0.673,0.730,0.624,1,0
eb,1,0.672,0.723,0.628,1,0
eb,0,0.664,0.694,0.637,1,0
calyx,700,0.150,0.939,0.082,0,0
calyx,600,0.211,0.933,0.119,0,0
calyx,500,0.291,0.926,0.173,0,0
calyx,400,0.402,0.914,0.258,0,0
calyx,300,0.529,0.897,0.375,0,0
calyx,200,0.642,0.866,0.510,0,0
calyx,150,0.685,0.843,0.577,0,0
calyx,120,0.706,0.826,0.617,0,0
calyx,110,0.712,0.820,0.629,0,0
calyx,105,0.714,0.816,0.635,0,0
calyx,100,0.716,0.812,0.641,0,0
calyx,95,0.719,0.808,0.648,0,0
calyx,90,0.721,0.804,0.654,0,0
calyx,60,0.728,0.775,0.687,0,1
calyx,30,0.727,0.735,0.719,0,0
calyx,10,0.719,0.699,0.740,0,0
calyx,9,0.718,0.697,0.741,0,0
calyx,8,0.718,0.695,0.742,0,0
calyx,7,0.717,0.692,0.743,0,0
calyx,6,0.716,0.690,0.745,0,0
calyx,5,0.716,0.688,0.746,0,0
calyx,4,0.716,0.688,0.746,0,0
calyx,3,0.716,0.688,0.746,0,0
calyx,2,0.716,0.688,0.746,0,0
calyx,1,0.716,0.688,0.746,0,0
calyx,0,0.716,0.688,0.746,0,0
lh,700,0.087,0.862,0.046,0,0
lh,600,0.137,0.870,0.075,0,0
lh,500,0.220,0.855,0.126,0,0
lh,400,0.338,0.832,0.212,0,0
lh,300,0.480,0.793,0.345,0,0
lh,200,0.619,0.753,0.525,0,0
lh,150,0.661,0.720,0.610,0,0
lh,120,0.675,0.694,0.656,0,0
lh,110,0.678,0.685,0.672,0,0
lh,105,0.680,0.681,0.679,0,0
lh,100,0.681,0.677,0.685,0,0
lh,95,0.682,0.672,0.691,0,0
lh,90,0.683,0.667,0.699,0,0
lh,60,0.683,0.637,0.736,0,1
lh,30,0.673,0.597,0.770,0,0
lh,10,0.658,0.563,0.791,0,0
lh,9,0.657,0.561,0.792,0,0
lh,8,0.656,0.560,0.792,0,0
lh,7,0.655,0.558,0.793,0,0
lh,6,0.654,0.556,0.794,0,0
lh,5,0.653,0.554,0.796,0,0
lh,4,0.653,0.554,0.796,0,0
lh,3,0.653,0.554,0.796,0,0
lh,2,0.653,0.554,0.796,0,0
lh,1,0.653,0.554,0.796,0,0
lh,0,0.653,0.554,0.796,0,0
pb,700,0.019,0.883,0.010,0,0
pb,600,0.035,0.868,0.018,0,0
pb,500,0.066,0.864,0.034,0,0
pb,400,0.121,0.857,0.065,0,0
pb,300,0.225,0.842,0.130,0,0
pb,200,0.366,0.802,0.237,0,0
pb,150,0.440,0.775,0.308,0,0
pb,120,0.486,0.756,0.358,0,0
pb,110,0.499,0.749,0.374,0,0
pb,105,0.506,0.745,0.383,0,0
pb,100,0.512,0.739,0.391,0,0
pb,95,0.519,0.736,0.401,0,0
pb,90,0.525,0.731,0.410,0,0
pb,60,0.557,0.700,0.463,0,0
pb,30,0.581,0.659,0.519,0,0
pb,10,0.589,0.625,0.557,0,0
pb,9,0.589,0.624,0.558,0,0
pb,8,0.590,0.622,0.560,0,0
pb,7,0.590,0.620,0.562,0,0
pb,6,0.590,0.618,0.565,0,0
pb,5,0.590,0.616,0.567,0,1
pb,4,0.590,0.616,0.567,0,0
pb,3,0.590,0.616,0.567,0,0
pb,2,0.590,0.616,0.567,0,0
pb,1,0.590,0.616,0.567,0,0
pb,0,0.590,0.616,0.567,0,0
eb,700,0.094,0.915,0.049,0,0
eb,600,0.141,0.914,0.076,0,0
eb,500,0.211,0.911,0.119,0,0
eb,400,0.310,0.903,0.187,0,0
eb,300,0.427,0.888,0.282,0,0
eb,200,0.542,0.858,0.396,0,0
eb,150,0.591,0.836,0.456,0,0
eb,120,0.614,0.818,0.492,0,0
eb,110,0.622,0.811,0.504,0,0
eb,105,0.625,0.807,0.510,0,0
eb,100,0.629,0.804,0.516,0,0
eb,95,0.632,0.800,0.523,0,0
eb,90,0.636,0.796,0.529,0,0
eb,60,0.653,0.770,0.567,0,0
eb,30,0.663,0.735,0.604,0,0
eb,10,0.665,0.704,0.630,0,0
eb,9,0.665,0.702,0.632,0,1
eb,8,0.665,0.700,0.633,0,0
eb,7,0.665,0.698,0.634,0,0
eb,6,0.665,0.696,0.636,0,0
eb,5,0.664,0.694,0.637,0,0
eb,4,0.664,0.694,0.637,0,0
eb,3,0.664,0.694,0.637,0,0
eb,2,0.664,0.694,0.637,0,0
eb,1,0.664,0.694,0.637,0,0
eb,0,0.664,0.694,0.637,0,0
